user_id,book_id
162,4337
547,9830
1238,9830
1726,2579
449,4663
2130,5948
2384,9503
2662,9503
803,6049
385,6049
3283,9343
3293,6049
2068,9111
3321,7023
1964,1111
3063,2579
1720,9111
1519,8934
3845,2579
2711,9343
4528,9111
4702,6963
3635,6049
4969,8731
1969,2579
4250,9830
4555,1382
954,8512
3113,5313
4996,4603
3912,9830
3912,4497
2467,1698
1650,7489
351,6049
5503,4663
2613,4297
635,6049
469,2579
4119,9830
3183,210
2257,6049
1315,2579
5956,7023
6075,5948
4663,4557
5500,4603
6135,1698
3693,4663
5021,3289
6465,8512
5071,9503
6586,9503
6381,9503
6740,7927
6671,5061
6747,2645
6329,2021
6814,3591
6467,4088
2770,6048
3302,8643
6916,5264
5740,5112
2046,6049
7130,9148
7130,7194
6151,2579
1210,1698
3035,9524
7080,9503
2989,5385
6657,2579
6839,6049
1569,4496
4158,2507
7402,8264
5567,6049
5886,5948
5992,2579
7220,4542
7566,9473
7566,4337
7581,9503
1850,2444
7240,1111
6127,1111
6056,4170
7764,210
5140,6995
5140,6963
7639,210
6744,954
7339,2021
7730,2753
3226,6963
7674,5112
7897,1111
1641,9503
7907,2645
6089,4337
7927,5293
7927,9503
7917,5919
7951,6049
7976,1111
5514,2579
6707,2444
1625,3735
7786,6049
8057,1111
8019,9138
8131,2701
384,2444
8182,6049
8193,9473
468,9111
8281,9760
8299,1111
6592,6995
8334,1111
8346,5112
8361,6776
8397,5867
8198,210
8426,1698
8435,4542
6640,6049
8441,4337
2147,8965
8469,210
8469,3095
8481,1338
6796,4663
6796,6455
8491,2645
2580,9443
6501,2753
8597,8397
3566,6049
2756,2444
8183,210
8154,4872
8340,2701
1577,4497
8693,6049
8601,5313
7202,1338
8253,1111
8740,6807
8740,8987
8740,4795
8748,8987
8748,4795
8748,4872
7681,210
6262,6807
3484,9863
6592,9350
8639,4872
8995,5112
8998,6049
3011,1698
7681,5759
9047,1111
9050,1111
9004,1698
6707,7489
8681,9503
9204,1111
6423,5264
9214,6807
9312,1111
565,2579
9337,210
9346,1111
8171,210
2937,9051
9395,6956
9410,1111
7850,4557
9423,3967
8635,4337
6732,4872
9485,1111
6047,9830
6047,2579
